Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
1np_f5e4	36.4016488288	0.0	0.0
1np_f17g1	37.0514558294	0.0	0.0
1np_f7a4	37.5222845576	0.0	0.0
1np_f14g2	37.2376631866	0.0	0.0
1np_f17b1	34.9400828702	0.0	0.0
1np_f18f1	36.8702340229	0.0	0.0
1np_f10d5	36.7746181355	0.0	0.0
1np_f16f6	37.3546945017	0.0	0.0
1np_f16c5	37.4733935752	0.0	0.0
1np_f14g4	33.8979701377	0.0	0.0
1np_f14d6	37.4710214959	0.0	0.0
1np_f15g8	36.7607070903	0.0	0.0
1np_f11d4	33.2023042759	0.0	0.0
1np_f16f7	37.4378172589	0.0	0.0
1np_f11f2	32.9473051444	0.0	0.0
1np_f14b6	37.5899588534	0.0	0.0
1np_f8g3	31.6924069944	0.0	0.0
1np_f16e1	37.4662160899	0.0	0.0
1np_f14e7	37.4330446908	0.0	0.0
1np_f9e1	28.2201401287	0.0	0.0
1np_f10a6	31.8679713559	0.0	0.0
water-control_f10h3	31.9690800244	0.0	0.0
water-control_f12h2	31.7924520699	0.0	0.0
1np_f13e3	31.2233847863	0.0	0.0
1np_f8g1	33.0498463673	0.0	0.0
1np_f15c3	28.6464198149	0.0	0.0
1np_f17c1	36.5322564562	0.0	0.0
1np_f17b2	34.2784265358	0.0	0.0
1np_f8d5	32.9114029348	0.0	0.0
1np_f8b6	31.340146151	0.0	0.0
1np_f9d3	32.6879579627	0.0	0.0
1np_f9b4	32.0026073953	0.0	0.0
1np_f11f3	31.0974500977	0.0	0.0
1np_f14c3	37.1458703211	0.0	0.0
1np_f15h1	36.6270083677	0.0	0.0
1np_f13d6	37.3743594531	0.0	0.0
1np_f15b3	27.3901606918	0.0	0.0
1np_f18e3	36.5838112145	0.0	0.0
1np_f17a7	37.4462512336	0.0	0.0
1np_f15d4	36.5761177181	0.0	0.0
1np_f6e2	36.8873558393	0.0	0.0
1np_f15c2	36.3045889405	0.0	0.0
1np_f17g3	36.5651375234	0.0	0.0
1np_f7a6	37.5548842317	0.0	0.0
1np_f12c1	32.7452093044	0.0	0.0
1np_f16c1	35.6308638978	0.0	0.0
1np_f10a3	33.1244892704	0.0	0.0
1np_f13f3	29.2806813477	0.0	0.0
1np_f3f1	37.4506757728	0.0	0.0
1np_f10g1	32.9836990079	0.0	0.0
1np_f12e2	31.5774599799	0.0	0.0
1np_f17f3	37.2969386309	0.0	0.0
1np_f7f1	37.4848232885	0.0	0.0
1np_f17a1	37.2879674132	0.0	0.0
1np_f10b5	37.5933789458	0.0	0.0
1np_f15g2	35.2625001336	0.0	0.0
1np_f13c4	37.4281128446	0.0	0.0
1np_f7e4	33.1261524506	0.0	0.0
1np_f15c1	36.4091498543	0.0	0.0
1np_f10c3	33.2216495515	0.0	0.0
1np_f17e7	36.997737409	0.0	0.0
1np_f12a6	32.7897069109	0.0	0.0
1np_f5a4	35.8793691615	0.0	0.0
1np_f17a3	37.5540522044	0.0	0.0
1np_f15b5	36.5400214707	0.0	0.0
1np_f6b3	36.7634143125	0.0	0.0
1np_f5a2	36.2982556422	0.0	0.0
1np_f5b3	24.4566879952	0.0	0.0
1np_f10g2	32.4909306096	0.0	0.0
1np_f17e5	36.3706241478	0.0	0.0
1np_f9e4	31.4942795457	0.0	0.0
1np_f12f2	32.6939890752	0.0	0.0
1np_f7c1	37.468970461	0.0	0.0
1np_f15b4	36.779920308	0.0	0.0
1np_f16c4	37.5586326762	0.0	0.0
1np_f14f2	37.0393753291	0.0	0.0
1np_f14c4	37.5318850426	0.0	0.0
1np_f8b1	32.3893738218	0.0	0.0
1np_f14a3	37.189134892	0.0	0.0
1np_f15d8	36.5230431628	0.0	0.0
1np_f7d2	37.6747730229	0.0	0.0
