Sample	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
1np_f14e6	0.0520377923183	9	0.753876515365
1np_f15d1	0.108520876735	13	0.898607543599
1np_f9d2	0.0411666324345	8	0.625445473984
1np_f12g1	0.0650949209237	9	0.769213432499
1np_f17f1	0.0472844106687	9	0.626434998449
1np_f18g1	0.0695402130219	12	0.774683544304
1np_f10g1	0.120873800651	11	0.908969535138
1np_f11d1	0.141794548282	12	0.911122607346
1np_f11e4	0.0339045215809	6	0.915188230203
1np_f10d5	0.0719609166398	8	0.913965341488
1np_f13b4	0.0833162172471	12	0.671597112168
1np_f13b1	0.0669141163698	7	0.746766060075
1np_f7d1	0.125436460198	13	0.930409356725
1np_f12d2	0.00146709310173	1	0.04
1np_f15b3	0.08407910566	10	0.902285813994
1np_f12c5	0.00208327220445	1	0.19014084507
1np_f16d3	0.0855902115548	9	0.802022625986
1np_f16d1	0.080631436871	8	0.86499272198
1np_f14a7	0.0245738094539	7	0.565970149254
1np_f16e1	0.0910477978933	7	0.907025459233
1np_f15c6	0.0579648484493	9	0.710706150342
1np_f11g1	0.0532408086617	6	0.907688068338
1np_f9c1	0.0548986238667	9	0.892303580973
1np_f15g2	0.000190722103225	1	0.153846153846
1np_f5c4	0.0243390745577	4	0.658830620856
1np_f13b2	0.105219917256	11	0.822085889571
1np_f10e4	0.0689973885743	8	0.883266000425
1np_f12a4	0.0422522813298	8	0.776388888889
1np_f9f6	0.0274933247264	7	0.727854855923
1np_f12a6	0.0675009536105	11	0.860682460335
1np_f17d1	0.0582729380006	10	0.847935548842
1np_f7f4	0.216014788298	14	0.937449062755
1np_f9b4	0.0678677268859	9	0.302637267618
1np_f6b3	0.0316745400663	3	0.928670680871
1np_f7c3	0.0512895748364	5	0.918764302059
1np_f17g4	0.0164314427394	5	0.564285714286
1np_f9c5	0.0173557113934	4	0.50718512257
1np_f18d4	0.0412693289516	9	0.806256665482
1np_f16d5	0.0737214283618	8	0.852139303483
1np_f16b5	0.0139667263285	3	0.72268907563
1np_f18d1	0.0418121533993	8	0.878947368421
1np_f10d2	0.0826560253514	7	0.908058217962
1np_f12c2	0.0828467474546	9	0.873915353285
1np_f11b2	0.128678735953	14	0.930338615893
1np_f15a2	0.00382911299551	1	0.421455938697
1np_f12f5	0.0943047445791	11	0.907125077785
1np_f12b4	0.0163287462222	3	0.55795148248
1np_f5a3	0.0113993134004	3	0.530244530245
1np_f14a4	0.0473577653238	6	0.614622057001
1np_f13a6	0.0284909480356	4	0.459320288363
1np_f10c2	0.0235028314897	6	0.857677902622
1np_f14b3	0.123573251959	10	0.842336459694
1np_f13d1	0.0277133886916	4	0.841715193224
1np_f10b1	0.00344766878906	2	0.723404255319
1np_f18g4	0.0278747689328	6	0.724210526316
1np_f16f4	0.0401983509874	7	0.764598540146
1np_f8g1	0.0981485285056	9	0.842899850523
1np_f6a4	0.144405974003	10	0.947576958244
1np_f15e8	0.0439541093278	7	0.860480640854
1np_f5a2	0.0185733986679	4	0.733807266983
1np_f10g2	0.0707872421584	9	0.907772020725
1np_f18e1	0.103723482292	10	0.909900990099
1np_f16b3	0.0879228895866	9	0.82396128817
1np_f13e4	0.035635691441	7	0.780156442981
1np_f14a6	0.0801766380094	8	0.773467520586
1np_f14e7	0.0355916786479	7	0.476504534213
1np_f17g6	0.0465215222558	9	0.572059287291
1np_f13d4	0.0609137055838	9	0.619701348748
1np_f13d3	0.0394648044365	7	0.729739776952
1np_f8e5	0.00145242217071	1	0.414141414141
1np_f14a2	0.0409025556762	7	0.68543758967
1np_f18d3	0.00566297937267	2	0.569948186528
1np_f8d1	0.00032276048238	1	0.0
1np_f8g3	0.030530207447	7	0.752522825565
1np_f6f3	0.00296352806549	1	0.336633663366
1np_f15f1	0.0595639799302	11	0.829556650246
1np_f10b5	0.0722249933981	10	0.911436116189
1np_f11b4	0.0618966579619	9	0.89784309078
1np_f11f5	0.0750711540154	10	0.924956028923
1np_f17d7	0.0567471611748	8	0.848241985522
1np_f8e6	0.129030838297	13	0.835474701535
1np_f14f1	0.0353276018896	6	0.803986710963
1np_f7b6	0.0760394354626	9	0.938066756705
1np_f14b5	0.00379977113348	1	0.0501930501931
1np_f8e3	0.0368680496464	8	0.898129725428
1np_f8c6	0.0859569848303	12	0.785799624509
1np_f9a6	0.00155511868783	1	0.0849056603774
1np_f14d5	0.036530618233	7	0.750602409639
1np_f16c6	0.0555734866935	8	0.89994720169
1np_f9g1	0.0301047504475	6	0.84746588694
1np_f15g6	0.0663126081981	10	0.861283185841
1np_f17c3	0.0791643437693	10	0.826167531505
1np_f9g2	0.0463454710836	8	0.774928774929
1np_f9d3	0.131290161674	11	0.897753938988
1np_f12a1	0.000953610516123	1	0.0307692307692
1np_f6f2	0.0923241688918	9	0.871921182266
