Sample	Ecoli_screen_result	Human_screen_result	Mouse_screen_result	Rat_screen_result	Unmapped_screen_result	Yeast_screen_result
expt01_F38F1	10.9197368156	9.13499265579	76.5649208234	17.5737942413	7.27	0.519125133302
expt02_F37H3	10.4112126948	5.24487494462	78.698296347	18.1199403923	9.36	0.502436666801
expt10_G4	13.3542060967	75.5919542544	3.66045181815	4.51012765272	10.74	0.15000201345
expt04_F40F2	10.3796026066	4.65358013833	80.1253348259	18.624315356	8.34	0.393795226482
expt08_C6-1	3.5343035343	7.0576649524	83.6445204866	20.1175780123	10.14	0.339205602363
expt11_G1E7	4.76932294787	18.1346115438	71.3421210306	16.6866387058	9.74	0.298581985221
expt11_G1B7	19.4421216103	57.1576474336	2.91582049138	3.54199020428	23.25	0.0915860311393
expt03_F41A3	0.423450172369	85.5289639918	5.20096447004	5.37333359903	13.2	0.181336309109
expt08_A4-1	58.0916418416	5.28350387072	0.678496348474	0.628680170172	36.33	0.0757205910191
expt01_F38H4	50.9858194436	24.3275768698	1.31877168702	1.65072106224	24.53	0.0902581382755
expt09_B1-2	14.6098318986	4.76403244864	74.142364938	18.4355544964	9.97	0.284968176899
expt03_F41E4	5.97188415876	37.8818737271	50.0193731062	13.0058119318	9.83	0.242412200089
expt09_A3-2	0.040052067688	35.3940122159	44.9183939121	11.9955942726	23.09	0.19124862321
expt10_A2	14.2498625206	56.0775883617	21.1198320252	7.56286557016	11.77	0.176973453982
expt11_G1H4	19.0613518745	56.9973926441	2.9342630269	3.33030458658	23.72	0.131355430016
expt10_A6	8.73940045384	38.2688403201	47.3277200525	12.8209721725	9.22	0.225924598909
expt10_C2	12.6088429275	44.7526251818	36.7276386315	10.5047123757	9.36	0.22715045729
expt10_E5	10.9771280548	52.3484407317	30.8881704452	9.82650254021	9.39	0.203819353802
expt02_F37C1	29.0832683904	3.71309348828	46.5073837685	10.2475066834	22.97	0.300875003699
expt06_F43D3	1.44109723243	0.786676463385	9.54200342885	2.7097722263	88.27	0.0244917952486
expt09_F3-2	0.0560263323762	62.6994687503	3.91684091523	4.18996928556	36.68	0.147069122488
expt10_B4	15.4486753968	72.3704061312	3.52825216744	4.357009233	11.79	0.136785146742
expt01_F38C6	27.6131107983	23.5622360748	36.8007239091	9.96782626181	14.74	0.258395334808
expt04_F40D3	26.6972165648	3.4733037818	56.8098318757	12.4945090052	15.1	0.166726568428
expt01_F38E8	21.8608870767	14.1744843331	55.0420209955	14.0339158783	12.01	0.403760455402
expt11_G1C6	18.2817371274	59.558370897	3.14740165611	3.70738100439	22.03	0.132051867591
expt01_F38G2	3.85020782372	5.7613905296	90.0453433566	20.2304953961	4.38	0.54988763598
expt03_F41C3	20.585015327	12.0536247462	57.7073131892	13.6918269039	12.2	0.219953023608
expt02_F37C6	8.51267289056	4.19472184706	82.2520382109	17.4817867248	8.56	0.49390261936
expt04_F40B3	18.5522219219	4.13851097696	70.4738164599	17.559139462	9.85	0.312340451092
expt01_F38E4	17.3457724808	12.1193767401	64.592389977	16.0504078542	9.42	0.408342695257
expt01_F38H8	44.1038930093	24.5653749541	10.0656281337	3.87315203686	23.05	0.133043417826
expt01_F38B5	37.1096789641	20.1031544923	24.3560326423	6.69805862048	20.35	0.211496638002
expt03_F41A1	2.67533617844	31.8916579435	55.4915854739	12.7395522989	13.44	0.260689266447
expt11_G1G3	8.33988358788	30.9059250784	42.692403363	10.6034525645	21.39	0.224864434605
expt11_G1B5	5.17361249056	17.005681141	71.3082515593	17.8191172381	10.7	0.313853243812
expt07_E4	9.72116577925	4.5888546379	82.4372472877	19.1330717803	7.24	0.371311901998
expt11_G1C10	19.0909090909	53.5654345654	2.74825174825	3.32567432567	27.17	0.0879120879121
expt07_D3	21.4536365909	3.59610097476	67.2761809548	15.3671582104	10.64	0.230942264434
expt11_G1E11	2.52737660689	11.7203618473	81.0278130455	19.3411760038	9.06	0.346175210284
expt08_H4-1	11.2699388937	4.28438219189	72.1807793032	16.3806443933	15.45	0.261883977462
expt11_G1C5	3.57624296249	13.7588216636	77.3293156768	17.5967409404	9.43	0.308262627865
expt01_F38H2	2.11892330309	11.776752674	72.6750139403	16.2406853551	17.21	0.515030161707
expt05_F42E1	18.3976853238	5.9443280455	66.2795570189	15.4664272174	12.17	0.251421730021
expt04_F40G2	12.1490705794	4.84893131774	79.1783559045	19.3906795568	7.53	0.426867418814
expt11_G1C4	16.8472241799	47.5936851856	18.8044944725	6.52926844002	19.73	0.15605807374
expt11_G1B12	21.619220634	51.2117703426	2.73097500599	3.22306955202	26.95	0.195640022359
expt10_F6	12.1709240683	52.7122771503	28.6359946686	9.22865703949	9.9	0.232495214808
expt02_F37A1	1.78940264627	55.7894844475	35.8616740629	11.3294750404	11.89	0.271989202233
expt02_F37D3	6.35689993916	3.87158543518	85.2077910421	17.5996569229	7.65	0.286230041189
expt11_G1B10	18.7854564208	53.9562423136	2.98032292617	3.24017138097	27.12	0.0773594636411
expt02_F37D1	20.5500639494	3.48697712694	64.606736003	14.7460366247	13.78	0.181437820367
expt03_F41F3	10.6920262174	12.1637379871	72.1912823194	15.7344485102	8.18	0.307611886284
expt08_F5-1	22.1442775629	4.31293781415	64.3762928321	14.9164093494	12.12	0.267809855003
expt05_F42B4	9.95288162383	4.53776973019	81.9039425376	18.7082962355	7.14	0.303118216104
expt02_F37E4	10.5911823647	4.86873747495	77.004008016	17.8607214429	10.97	0.362725450902
expt05_F42A1	6.5364092115	64.373543682	25.9287652441	9.18526887035	7.2	0.153323179035
expt10_B3	25.8921656241	58.7945586337	2.93019561116	3.91222321517	14.85	0.160857908847
expt09_B4-2	0.0462371968197	34.0175098254	49.666790636	12.5684762833	19.82	0.225155045383
expt06_F43B3	15.3849979114	19.2697869632	37.4395798938	9.8711037734	29.9	0.181011676248
expt11_G1C2	8.49860637345	23.7973053199	57.5049556756	14.0922309093	13.55	0.256588281462
expt09_A2-2	8.09018699486	5.64265192711	76.6818104999	18.7392510264	13.17	0.307184539372
expt04_F40C5	13.6795896123	4.45486635401	74.3767686969	16.656500305	10.57	0.351989440317
expt11_G1E4	7.04160677208	23.08237502	58.7476042166	14.0123382846	14.39	0.18966618751
expt11_G1F4	7.99368025279	25.7319707212	56.866725331	13.9244430223	13.06	0.24399024039
expt09_E1-2	15.2714829358	4.53531448414	72.8880454642	17.292337509	10.44	0.327051389464
expt04_F40F1	24.6019413557	5.58896535023	58.5696123343	14.5561318185	14.07	0.375355679777
expt07_G1	70.0911218443	2.88303540308	4.28720808644	1.6162923866	23.35	0.121495792461
expt08_G3-1	41.3467253659	5.44513061261	21.9930890664	5.44513061261	32.67	0.127942939464
expt09_E2-2	10.9665888894	4.81457578315	79.1103609194	18.831355806	8.86	0.334607555975
