Sample	Genome_coverage	Positive_chromosomes	Proportion_with_neighbours
expt03_F41B3	0.248892344708	18	0.865193044503
expt11_G1G2	0.191206243948	16	0.879996930868
expt05_F42B3	0.122047475133	11	0.792042312778
expt10_C3	0.005090813063	1	0.0432276657061
expt09_A4-2	0.0830814823509	11	0.516157513685
expt01_F38H5	0.0512602329744	8	0.348597595879
expt02_F37G1	0.163492855257	10	0.847272074659
expt10_C4	0.0095067632992	1	0.0632716049383
expt04_F40G1	0.142205334351	12	0.818632002476
expt09_C3-2	0.0553534227282	10	0.499602438378
expt11_G1E3	0.107802001115	14	0.686037016875
expt04_F40G6	0.0871746721047	11	0.722484012117
expt11_G1B10	0.00070420468883	12	0.0416666666667
expt11_G1B4	0.105087878877	12	0.824794080692
expt08_C6-1	0.121974120478	13	0.679576617753
expt01_F38B1	0.281007012705	18	0.915787824997
expt11_G1B7	0.000762888412899	15	0.0384615384615
expt02_F37A2	0.17031483818	14	0.711430786459
expt01_F38G7	0.09085707579	15	0.493137413208
expt01_F38B5	0.0817024148352	12	0.521996767822
expt01_F38A2	0.221340336258	14	0.91025386094
expt05_F42A2	0.0827000381444	9	0.77683164804
expt04_F40G3	0.132742583844	13	0.809018567639
expt08_G5-1	0.0965934098178	10	0.715978128797
expt02_F37B6	0.149878231273	15	0.547474549726
expt11_G1E1	0.193069452187	14	0.857750759878
expt02_F37A3	0.13701182477	16	0.650283756291
expt04_F40B3	0.142616120419	14	0.783561362
expt04_F40F2	0.146635955518	13	0.846723361681
expt09_A1-2	0.0364132507849	6	0.400483481064
expt07_F3	0.268771456237	18	0.891593886463
expt05_F42F1	0.159854464364	13	0.819658590308
expt01_F38B9	0.108462193011	14	0.535100771
expt11_G1B9	0.143877820486	15	0.924951565209
expt11_G1H6	0.000381444206449	12	0.0
expt10_G1	0.157066987471	12	0.882308985616
expt05_F42C2	0.247439922537	18	0.733665362267
expt10_F4	0.00733546550864	1	0.05
expt11_G1H9	0.0375429124732	8	0.388042203986
expt11_G1A4	0.000586837240691	12	0.1
expt07_A3	0.147134767172	13	0.786618805464
expt10_A1	0.249479181949	15	0.932960893855
expt07_B3	0.0675596373346	12	0.493376764387
expt02_F37C1	0.0340072180981	5	0.411993097498
expt11_G1G9	0.242510489716	19	0.881548699335
expt02_F37C6	0.168260907837	14	0.857005841835
expt11_G1H8	0.20694815293	18	0.835601871544
expt11_G1A10	0.00396115137467	17	0.0444444444444
expt09_B4-2	0.122531615856	15	0.649305555556
expt10_H5	0.123382529855	14	0.869084423306
expt11_G1G1	0.202370822452	14	0.864071335363
expt10_D6	0.191147560224	14	0.890014582854
expt09_G2-2	0.000528153516622	16	0.0555555555556
expt01_F38C8	0.00880255861037	1	0.108333333333
expt05_F42C4	0.392359379126	19	0.802236015555
expt06_F43C1	0.184281564508	10	0.884483719449
expt07_F1	0.0222998151463	2	0.207236842105
expt02_F37C3	0.175537689622	15	0.834517342248
expt05_F42D2	0.121666030926	12	0.846014711202
expt03_F41F1	0.316760071594	18	0.874670001389
expt08_H3-1	0.0118394413309	16	0.101610904585
expt02_F37B2	0.153281887269	13	0.77306661562
expt01_F38H4	0.000249405827294	10	0.117647058824
expt01_F38D3	0.273774243714	18	0.928353250094
expt11_G1G12	0.00462134327044	1	0.0571428571429
expt10_F3	0.00350635251313	1	0.0334728033473
expt05_F42D3	0.392960887298	16	0.926563375023
expt10_E2	0.155409172266	12	0.881336731804
expt01_F38C5	0.0832575335231	12	0.704140969163
expt11_G1D9	0.000396115137467	13	0.0
expt11_G1D11	0.193802998738	14	0.893565480696
expt11_G1B11	0.107904697632	11	0.581917063222
expt07_F2	0.0225345500425	3	0.118489583333
expt04_F40A2	0.123631935683	12	0.75281832206
expt11_G1A7	0.000616179102726	14	0.047619047619
expt07_D3	0.117294093483	10	0.84277673546
expt01_F38C7	0.0632903964086	11	0.507417709782
expt10_G3	0.00372641647839	1	0.0314960629921
expt04_F40G2	0.191059534638	16	0.845043384781
expt08_G2-1	0.0706552037792	11	0.46200166113
expt09_F3-2	0.00268478037616	16	0.0546448087432
expt04_F40D3	0.0850767289692	10	0.774961200207
expt01_F38C3	0.285232240838	15	0.934677502315
expt11_G1G10	0.31497021801	19	0.875541478411
expt08_D2-1	0.0669728000939	12	0.551150054765
expt11_G1H2	0.000513482585605	15	0.0571428571429
expt08_E2-1	0.0448490361198	9	0.323519790644
expt05_F42E1	0.163771602946	13	0.828899041476
expt01_F38E3	0.198174936181	13	0.888732602902
expt09_A3-2	0.0953610516123	13	0.531692307692
expt07_B2	0.0156685543265	1	0.120786516854
expt08_D5-1	0.280581555706	16	0.84062745098
expt08_G3-1	0.107508582495	13	0.538346069869
expt07_D4	0.111146973387	11	0.733104540655
expt11_G1F12	4.40127930518e-05	3	0.0
expt09_G3-2	0.189122971744	16	0.772399348383
expt04_F40F3	0.120301634342	13	0.802926829268
expt05_F42H3	0.214899797541	17	0.910704533042
expt07_G3	0.129338927848	15	0.834392014519
expt02_F37E2	0.14263079135	13	0.732462456285
expt11_G1G6	0.000748217481881	15	0.0
expt03_F41B1	0.163815615739	11	0.86763388859
expt08_B4-1	0.197558757079	15	0.786796376058
expt04_F40E3	0.184002816819	14	0.862222930952
expt01_F38G1	0.140444822628	11	0.899926877677
