Sample	avg_quality	dinucleotide_repeats	mononucleotide_repeats
expt03_F41D1	33.5537425272	0	0.0
expt06_F43F2	33.2963334407	0	0.0
expt01_F38A4	34.3529251743	0	0.0
expt05_F42C4	33.3987716041	0	0.0
expt07_B1	33.6750402781	0	0.0
expt11_G1A9	32.9202248728	0	0.0
expt11_G1D8	32.912356172	0	0.0
expt01_F38D1	34.29071021	0	0.0
expt05_F42E1	33.3225080471	0	0.0
expt04_F40F3	33.719489206	0	0.0
expt09_C1-2	33.3541848173	0	0.0
expt11_G1C3	32.8118471314	0	0.0
expt04_F40D5	33.5976174666	0	0.0
expt02_F37E4	33.7201819248	0	0.0
expt02_F37C5	34.3983332737	0	0.0
expt10_H6	33.9566834646	0	0.0
expt09_C4-2	33.5160752531	0	0.0
expt08_E4-1	32.7540263026	0	0.0
expt10_F4	33.9422604086	0	0.0
expt11_G1F11	32.8913615472	0	0.0
expt11_G1F1	32.7555593159	0	0.0
expt03_F41F3	33.7713129525	0	0.0
expt08_F2-1	33.4884173075	0	0.0
expt09_G3-2	33.4959752118	0	0.0
expt05_F42B1	33.3459609828	0	0.0
expt01_F38G2	34.3538065153	0	0.0
expt10_C3	33.9075630909	0	0.0
expt04_F40G4	33.2738544289	0	0.0
expt11_G1B8	32.8010069387	0	0.0
expt01_F38A7	34.4320624456	0	0.0
expt06_F43B2	33.3144811685	0	0.0
expt01_F38B6	34.3748330012	0	0.0
expt11_G1D12	30.9244054212	0	0.0
expt11_G1H6	32.8450860555	0	0.0
expt08_E3-1	33.4754167184	0	0.0
expt04_F40F6	33.698631635	0	0.0
expt11_G1A7	32.8868914503	0	0.0
expt01_F38E3	34.3760282523	0	0.0
expt11_G1F2	32.9752785499	0	0.0
expt10_F3	33.870254358	0	0.0
expt07_G3	33.8139032919	0	0.0
expt10_D1	33.7956651281	0	0.0
expt01_F38G1	34.4035488803	0	0.0
expt08_B3-1	33.5371471311	0	0.0
expt07_E2	33.6643389947	0	0.0
expt04_F40E3	33.6959902022	0	0.0
expt11_G1G9	32.8959623229	0	0.0
expt10_C1	33.9374353634	0	0.0
expt08_C3-1	33.4057668674	0	0.0
expt03_F41C3	33.8115168228	0	0.0
expt01_F38B5	34.4065712614	0	0.0
expt01_F38C4	34.3488607076	0	0.0
expt07_H3	33.8516312066	0	0.0
expt11_G1C9	32.79203906	0	0.0
expt11_G1E10	32.9267205957	0	0.0
expt03_F41B3	33.8731875047	0	0.0
expt07_B3	33.763266987	0	0.0
expt11_G1C5	32.8050989385	0	0.0
expt11_G1E6	32.9115081755	0	0.0
expt03_F41C2	33.8525535817	0	0.0
expt10_F5	33.9023892181	0	0.0
expt08_C4-1	33.3781295186	0	0.0
expt01_F38A5	34.4207354475	0	0.0
expt10_C2	33.9139858182	0	0.0
expt10_E3	33.8668059422	0	0.0
expt04_F40A6	27.2184253552	0	0.0
expt05_F42E2	33.302850965	0	0.0
expt02_F37A5	34.4586886938	0	0.0
expt11_G1G7	32.887039236	0	0.0
expt11_G1H10	32.5683919179	0	0.0
expt04_F40A5	33.7543177957	0	0.0
expt07_E3	33.8295500944	0	0.0
expt11_G1F9	32.9299685146	0	0.0
expt09_A1-2	33.386241041	0	0.0
expt01_F38B3	34.3311833847	0	0.0
expt10_D6	33.8003331229	0	0.0
expt09_A3-2	33.4737637562	0	0.0
expt01_F38E4	34.2827195952	0	0.0
expt10_H4	33.9710031469	0	0.0
expt05_F42D3	33.1361806061	0	0.0
expt02_F37C3	34.4376578672	0	0.0
expt03_F41C1	33.7722241739	0	0.0
